token_length,count
84,1
85,1
86,1
87,3
88,4
89,5
90,7
91,14
92,7
93,6
94,11
95,16
96,11
97,21
98,23
99,28
100,36
101,49
102,50
103,51
104,69
105,100
106,118
107,123
108,135
109,160
110,194
111,189
112,212
113,187
114,186
115,172
116,193
117,173
118,177
119,185
120,174
121,191
122,192
123,193
124,202
125,193
126,213
127,214
128,201
129,211
130,222
131,219
132,209
133,199
134,204
135,218
136,213
137,219
138,253
139,226
140,233
141,252
142,211
143,223
144,248
145,220
146,208
147,242
148,225
149,197
150,223
151,218
152,239
153,206
154,210
155,197
156,222
157,217
158,217
159,227
160,198
161,217
162,207
163,208
164,223
165,178
166,191
167,207
168,199
169,194
170,170
171,189
172,190
173,195
174,185
175,183
176,175
177,184
178,154
179,159
180,179
181,172
182,142
183,158
184,157
185,177
186,144
187,182
188,139
189,145
190,142
191,143
192,143
193,115
194,133
195,153
196,129
197,113
198,123
199,136
200,106
201,123
202,116
203,104
204,113
205,127
206,105
207,125
208,103
209,134
210,110
211,90
212,103
213,105
214,109
215,101
216,86
217,113
218,106
219,86
220,77
221,108
222,97
223,81
224,79
225,85
226,93
227,86
228,90
229,77
230,85
231,96
232,89
233,77
234,77
235,71
236,74
237,65
238,69
239,81
240,83
241,50
242,75
243,74
244,72
245,65
246,81
247,77
248,55
249,53
250,71
251,64
252,61
253,57
254,59
255,68
256,64
257,71
258,55
259,56
260,57
261,62
262,67
263,70
264,46
265,59
266,56
267,65
268,46
269,58
270,63
271,58
272,56
273,51
274,49
275,51
276,60
277,43
278,72
279,73
280,56
281,69
282,58
283,60
284,37
285,55
286,50
287,59
288,49
289,50
290,55
291,54
292,44
293,62
294,54
295,47
296,54
297,56
298,55
299,44
300,43
301,54
302,47
303,52
304,45
305,53
306,47
307,46
308,53
309,43
310,53
311,50
312,47
313,50
314,39
315,47
316,43
317,39
318,47
319,41
320,42
321,38
322,40
323,42
324,47
325,49
326,47
327,57
328,35
329,63
330,42
331,49
332,54
333,71
334,57
335,58
336,57
337,54
338,66
339,71
340,84
