token_length,count
6,1043
8,1
9,4496
10,1
11,680
13,16
15,106
16,103
17,466
18,1408
19,422
20,495
21,1236
22,2142
23,768
24,730
25,697
26,797
27,753
28,1917
29,778
30,717
31,725
32,1120
33,1123
34,1023
35,728
36,688
37,658
38,768
39,710
40,644
41,598
42,532
43,498
44,442
45,437
46,422
47,408
48,429
49,384
50,373
51,345
52,347
53,377
54,342
55,347
56,302
57,335
58,375
59,340
60,361
61,349
62,364
63,361
64,383
65,342
66,359
67,364
68,382
69,377
70,408
71,384
72,394
73,416
74,447
75,430
76,431
77,450
78,465
79,539
80,488
81,462
82,503
83,531
84,533
85,577
86,517
87,566
88,540
89,520
90,508
91,517
92,476
93,499
94,500
95,423
96,431
97,388
98,405
99,407
100,366
101,388
102,348
103,357
104,329
105,300
106,316
107,325
108,301
109,263
110,287
111,269
112,275
113,247
114,272
115,246
116,239
117,228
118,245
119,220
120,252
121,200
122,224
123,224
124,202
125,240
126,208
127,215
128,208
129,192
130,179
131,214
132,189
133,190
134,200
135,194
136,160
137,162
138,179
139,159
140,168
141,152
142,150
143,169
144,173
145,150
146,147
147,157
148,169
149,178
150,165
151,142
152,149
153,126
154,131
155,130
156,141
157,142
158,121
159,136
160,126
161,131
162,136
163,118
164,122
165,113
166,108
167,110
168,140
169,121
170,106
171,97
172,115
173,112
174,111
175,102
176,115
177,107
178,107
179,117
180,105
181,108
182,97
183,103
184,109
185,112
186,99
187,87
188,93
189,102
190,94
191,100
192,108
193,93
194,90
195,78
196,89
197,82
198,85
199,85
200,77
201,102
202,88
203,84
204,86
205,108
206,102
207,85
208,107
209,76
210,91
211,89
212,86
213,91
214,83
215,73
216,92
217,89
218,82
219,87
220,77
221,87
222,87
223,83
224,82
225,73
226,78
227,83
228,92
229,86
230,70
231,80
232,68
233,94
234,76
235,76
236,61
237,61
238,89
239,85
240,75
241,92
242,72
243,68
244,71
245,81
246,84
247,82
248,82
249,84
250,67
251,71
252,69
253,83
254,67
255,50
256,64
257,71
258,73
259,77
260,76
261,64
262,59
263,76
264,54
265,69
266,57
267,66
268,75
269,77
270,66
271,65
272,63
273,67
274,74
275,74
276,61
277,72
278,72
279,64
280,56
281,77
282,60
283,56
284,72
285,77
286,54
287,52
288,59
289,58
290,60
291,58
292,72
293,61
294,68
295,57
296,64
297,67
298,63
299,59
300,64
301,62
302,55
303,69
304,51
305,58
306,77
307,49
308,59
309,62
310,53
311,66
312,53
313,57
314,59
315,52
316,51
317,60
318,60
319,46
320,50
321,57
322,58
323,66
324,54
325,52
326,47
327,59
328,44
329,53
330,60
331,68
332,62
333,54
334,54
335,59
336,47
337,46
338,58
339,56
340,56
341,57
342,52
343,47
344,40
345,48
346,41
347,51
348,46
349,43
350,63
351,45
352,52
353,60
354,55
355,48
356,41
357,47
358,48
359,49
360,41
361,45
362,36
363,41
364,44
365,44
366,49
367,51
368,44
369,50
370,48
371,43
372,48
373,42
374,58
375,47
376,42
377,42
378,51
379,45
380,47
381,44
382,49
383,48
384,42
385,49
386,40
387,40
388,50
389,45
390,46
391,45
392,32
393,51
394,34
395,46
396,35
397,37
398,39
399,42
400,44
401,49
402,38
403,46
404,37
405,33
406,31
407,49
408,34
409,38
410,39
411,35
412,51
413,33
414,47
415,41
416,27
417,37
418,39
419,36
420,43
421,42
422,27
423,35
424,39
425,46
426,38
427,35
428,31
429,36
430,40
431,33
432,41
433,27
434,37
435,42
436,42
437,36
438,31
439,34
440,37
441,40
442,33
443,27
444,31
445,27
446,34
447,37
448,37
449,36
450,33
451,35
452,38
453,43
454,36
455,36
456,42
457,36
458,19
459,40
460,33
461,35
462,43
463,39
464,38
465,28
466,42
467,34
468,27
469,40
470,35
471,32
472,30
473,40
474,30
475,35
476,34
477,26
478,24
479,27
480,35
481,32
482,29
483,38
484,31
485,34
486,25
487,39
488,36
489,23
490,33
491,28
492,34
493,35
494,42
495,18
496,21
497,26
498,32
499,31
500,21
501,22
502,27
503,28
504,21
505,26
506,35
507,24
508,29
509,31
510,31
511,26
512,30
513,46
514,32
515,22
516,24
517,32
518,33
519,29
520,25
521,28
522,25
523,23
524,26
525,27
526,28
527,30
528,14
529,30
530,17
531,27
532,16
533,29
534,28
535,28
536,24
537,25
538,26
539,13
540,26
541,18
542,18
543,23
544,26
545,22
546,21
547,25
548,16
549,22
550,28
551,21
552,29
553,16
554,26
555,20
556,36
557,23
558,23
559,32
560,28
561,32
562,24
563,15
564,26
565,25
566,21
567,24
568,25
569,33
570,21
571,30
572,29
573,19
574,24
575,31
576,24
577,16
578,16
579,32
580,23
581,22
582,34
583,17
584,20
585,23
586,20
587,18
588,22
589,25
590,18
591,32
592,17
593,14
594,23
595,17
596,28
597,24
598,17
599,20
600,18
601,20
602,18
603,25
604,27
605,13
606,23
607,14
608,18
609,20
610,20
611,18
612,19
613,17
614,11
615,13
616,18
617,21
618,14
619,23
620,17
621,21
622,22
623,21
624,21
625,24
626,22
627,19
628,14
629,24
630,19
631,17
632,17
633,18
634,17
635,11
636,13
637,17
638,14
639,20
640,10
641,12
642,13
643,8
644,20
645,18
646,12
647,15
648,19
649,18
650,20
651,20
652,10
653,17
654,30
655,14
656,19
657,16
658,21
659,20
660,18
661,19
662,27
