token_length,count
63,6
64,19
65,12
66,20
67,47
68,72
69,97
70,205
71,279
72,423
73,699
74,970
75,1198
76,1315
77,1236
78,1143
79,908
80,799
81,645
82,562
83,468
84,463
85,364
86,292
87,324
88,219
89,276
90,271
91,236
92,219
93,270
94,216
95,259
96,154
97,188
98,205
99,189
100,352
101,228
102,178
103,214
104,195
105,212
106,260
107,195
108,235
109,297
110,221
111,241
112,228
113,192
114,197
115,207
116,239
117,244
118,193
119,229
120,299
121,253
122,259
123,257
124,249
125,219
126,239
127,255
128,268
129,230
130,266
131,246
132,239
133,255
134,232
135,231
136,217
137,170
138,224
139,233
140,178
141,177
142,219
143,185
144,175
145,185
146,303
147,210
148,206
149,181
150,162
151,191
152,169
153,169
154,175
155,153
156,158
157,145
158,134
159,148
160,153
161,158
162,140
163,130
164,103
165,144
166,141
167,117
168,122
169,103
170,105
171,105
172,109
173,98
174,135
175,103
176,123
177,126
178,95
179,78
180,90
181,101
182,74
183,91
184,85
185,93
186,102
187,80
188,85
189,80
190,92
191,96
192,94
193,71
194,73
195,82
196,74
197,78
198,69
199,65
200,58
201,65
202,45
203,46
204,60
205,63
206,104
207,78
208,78
209,54
210,58
211,47
212,63
213,70
214,32
215,31
216,54
217,42
218,55
219,72
220,50
221,54
222,52
223,50
224,50
225,64
226,45
227,66
228,48
229,63
230,83
231,53
232,70
233,59
234,55
235,47
236,85
237,50
238,105
239,76
240,52
241,51
242,52
243,40
244,98
245,51
246,40
247,37
248,59
249,45
250,77
251,76
252,63
253,57
254,60
255,37
256,48
257,50
258,46
259,29
260,40
261,47
262,57
263,58
264,56
265,63
266,48
267,56
268,56
269,59
270,53
271,43
272,44
273,54
274,53
275,55
276,54
277,34
278,52
279,49
280,49
281,38
282,41
283,5981
284,47
285,40
286,98
287,53
288,44
289,40
290,38
291,56
292,60
293,37
294,52
295,51
296,50
297,63
298,55
299,66
300,45
301,53
302,52
303,53
304,43
305,29
306,41
307,47
308,50
309,29
310,40
311,34
312,43
313,28
314,25
315,39
316,34
317,39
318,45
319,44
320,41
321,37
322,33
323,36
324,32
325,34
326,43
327,32
328,29
329,49
330,29
331,30
332,33
333,36
334,44
335,47
336,46
337,41
338,43
339,29
340,43
341,45
342,38
343,37
344,38
345,39
346,39
347,31
348,50
349,91
350,37
351,39
352,26
353,29
354,50
355,33
356,36
357,32
358,29
359,35
360,39
361,27
362,23
363,35
364,36
365,33
366,24
367,31
368,30
369,29
370,35
371,28
372,25
373,34
374,29
375,31
376,40
377,22
378,25
379,34
380,31
381,29
382,26
383,30
384,37
385,28
386,52
387,27
388,35
389,33
390,26
391,21
392,32
393,26
394,25
395,29
396,23
397,21
398,32
399,26
400,25
401,41
402,26
403,41
404,18
405,36
406,54
407,63
408,72
409,118
410,144
411,220
412,236
413,263
414,287
415,283
416,275
417,216
418,194
419,180
420,141
421,115
422,106
423,88
424,87
425,74
426,53
427,133
428,52
429,46
430,46
431,32
432,46
433,54
434,61
435,59
436,97
437,112
438,144
439,200
440,247
441,255
442,291
443,291
444,235
445,235
446,264
447,163
448,129
449,106
450,106
451,88
452,63
453,75
454,72
455,59
456,43
457,31
458,40
459,30
460,29
461,21
462,73
463,16
464,28
465,25
466,26
467,20
468,25
469,21
470,22
471,17
472,18
473,20
474,22
475,15
476,24
477,20
478,13
479,12
480,18
481,17
482,19
483,13
484,11
485,21
486,12
487,15
488,17
489,15
490,19
491,14
492,12
493,14
494,16
495,16
496,14
497,10
498,7
499,20
500,17
501,13
502,8
503,11
504,19
505,13
506,19
507,14
508,13
509,11
510,8
511,12
512,14
513,23
514,17
515,8
516,19
517,18
518,23
519,19
520,17
521,14
522,19
523,16
524,14
525,17
526,9
527,18
528,14
529,11
530,14
531,20
532,21
533,14
534,9
535,13
536,10
537,12
538,10
539,12
540,10
541,23
542,7
543,12
544,14
545,16
546,23
547,13
548,17
549,9
550,14
551,14
552,12
553,14
554,13
555,18
556,12
557,14
558,6
559,19
560,16
561,18
562,17
563,15
564,13
565,15
566,16
567,14
568,9
569,17
570,11
571,11
572,26
573,17
574,11
575,13
576,19
577,17
578,13
579,7
580,16
581,10
582,17
583,17
584,15
585,16
586,12
587,11
588,13
589,15
590,10
591,12
592,16
593,8
594,18
595,15
596,18
597,22
598,14
599,7
600,18
601,18
602,12
